"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"25","Classe 25 — Informations sur le traitement","025028","Paramètre défini par l'exploitant ou le fabricant","Numérique","1","-16384","15","Numérique","1","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025029","Méthode d'étalonnage","Table d'indicateurs","0","0","6","Table d'indicateurs","0","2","(voir note 3)","3","Operational"
"25","Classe 25 — Informations sur le traitement","025030","Moyenne mobile de la température de la mer en surface","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025031","Méthode d'éclaircissage des profils verticaux établis par la prévision numérique du temps","Table de code","0","0","3","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025032","Information sur le mode du profileur de vent","Table de code","0","0","2","Table de code","0","1","(voir note 2)","2","Operational"
"25","Classe 25 — Informations sur le traitement","025033","Information sur le sous-mode du profileur de vent","Table de code","0","0","2","Table de code","0","1","(voir note 2)","2","Operational"
"25","Classe 25 — Informations sur le traitement","025034","Résultats des essais de contrôle de la qualité du profileur de vent","Table d'indicateurs","0","0","4","Table d'indicateurs","0","2","(voir note 2)","2","Operational"
"25","Classe 25 — Informations sur le traitement","025035","Méthode de décision pour la polarité","Table de code","0","0","3","Table de code","0","1","(voir note 5)","5","Operational"
"25","Classe 25 — Informations sur le traitement","025036","Méthode de localisation des atmosphériques","Table de code","0","0","4","Table de code","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025037","Biais de la SST","K","2","-127","8","K","2","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025038","Différence entre la valeur observée de la SST et la valeur analysée","K","1","-127","8","K","1","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025040","Produit de vent obtenu par traceur au CO2","Table de code","0","0","4","Table de code","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025041","Méthode de transmission de la direction de la plate-forme mobile","Table de code","0","0","2","Table de code","0","1","","","Operational"
